"Species","Disease_presence_antibody","Disease","Isotype","BSource","BType","n_unique_antibodies"
"Human",1,"AChR-MG","Bulk","PBMC","Memory-B-Cells",5464
"Human",2,"AChR-MG","Bulk","PBMC","Memory-B-Cells",2
"Human",1,"AChR-MG","Bulk","PBMC","Naive-B-Cells",10059
"Human",2,"AChR-MG","Bulk","PBMC","Naive-B-Cells",3
"Human",1,"AChR-MG","IGHA","PBMC","Memory-B-Cells",120606
"Human",2,"AChR-MG","IGHA","PBMC","Memory-B-Cells",30
"Human",1,"AChR-MG","IGHA","PBMC","Naive-B-Cells",13795
"Human",2,"AChR-MG","IGHA","PBMC","Naive-B-Cells",11
"Human",1,"AChR-MG","IGHD","PBMC","Memory-B-Cells",12758
"Human",2,"AChR-MG","IGHD","PBMC","Memory-B-Cells",21
"Human",1,"AChR-MG","IGHD","PBMC","Naive-B-Cells",105044
"Human",2,"AChR-MG","IGHD","PBMC","Naive-B-Cells",162
"Human",3,"AChR-MG","IGHD","PBMC","Naive-B-Cells",15
"Human",4,"AChR-MG","IGHD","PBMC","Naive-B-Cells",3
"Human",6,"AChR-MG","IGHD","PBMC","Naive-B-Cells",1
"Human",1,"AChR-MG","IGHE","PBMC","Memory-B-Cells",157
"Human",1,"AChR-MG","IGHE","PBMC","Naive-B-Cells",8
"Human",1,"AChR-MG","IGHG","PBMC","Memory-B-Cells",40001
"Human",2,"AChR-MG","IGHG","PBMC","Memory-B-Cells",15
"Human",1,"AChR-MG","IGHG","PBMC","Naive-B-Cells",6814
"Human",2,"AChR-MG","IGHG","PBMC","Naive-B-Cells",9
"Human",1,"AChR-MG","IGHM","PBMC","Memory-B-Cells",127391
"Human",2,"AChR-MG","IGHM","PBMC","Memory-B-Cells",71
"Human",1,"AChR-MG","IGHM","PBMC","Naive-B-Cells",377652
"Human",2,"AChR-MG","IGHM","PBMC","Naive-B-Cells",528
"Human",3,"AChR-MG","IGHM","PBMC","Naive-B-Cells",48
"Human",4,"AChR-MG","IGHM","PBMC","Naive-B-Cells",5
"Human",5,"AChR-MG","IGHM","PBMC","Naive-B-Cells",4
"Human",6,"AChR-MG","IGHM","PBMC","Naive-B-Cells",1
"Human",1,"Allergic-Rhinitis-In-Season","Bulk","PBMC/Nasal-Biopsy","Unsorted-B-Cells",1359
"Human",2,"Allergic-Rhinitis-In-Season","Bulk","PBMC/Nasal-Biopsy","Unsorted-B-Cells",3
"Human",1,"Allergic-Rhinitis-In-Season","IGHA","PBMC/Nasal-Biopsy","Unsorted-B-Cells",3163
"Human",2,"Allergic-Rhinitis-In-Season","IGHA","PBMC/Nasal-Biopsy","Unsorted-B-Cells",6
"Human",1,"Allergic-Rhinitis-In-Season","IGHE","PBMC/Nasal-Biopsy","Unsorted-B-Cells",294
"Human",2,"Allergic-Rhinitis-In-Season","IGHE","PBMC/Nasal-Biopsy","Unsorted-B-Cells",5
"Human",1,"Allergic-Rhinitis-In-Season","IGHG","PBMC/Nasal-Biopsy","Unsorted-B-Cells",3907
"Human",2,"Allergic-Rhinitis-In-Season","IGHG","PBMC/Nasal-Biopsy","Unsorted-B-Cells",9
"Human",1,"Allergic-Rhinitis-In-Season","IGHM","PBMC/Nasal-Biopsy","Unsorted-B-Cells",3414
