Species,Disease_presence_peptide,Disease,CDR3,Uniqueness,n_unique_peptides
Human,1,AChR-MG,No,1,1315161
Human,1,AChR-MG,No,2,122413
Human,1,AChR-MG,No,3,65737
Human,1,AChR-MG,No,4,38106
Human,1,AChR-MG,No,5,23478
Human,1,AChR-MG,No,6,15174
Human,1,AChR-MG,No,7,10099
Human,1,AChR-MG,No,8,7097
Human,1,AChR-MG,No,9,5340
Human,1,AChR-MG,No,10,4263
Human,1,AChR-MG,No,>10,28310
Human,1,AChR-MG,Yes,1,21316
Human,1,AChR-MG,Yes,2,7006
Human,1,AChR-MG,Yes,3,4367
Human,1,AChR-MG,Yes,4,2640
Human,1,AChR-MG,Yes,5,1572
Human,1,AChR-MG,Yes,6,1065
Human,1,AChR-MG,Yes,7,709
Human,1,AChR-MG,Yes,8,503
Human,1,AChR-MG,Yes,9,357
Human,1,AChR-MG,Yes,10,289
Human,1,AChR-MG,Yes,>10,2369
Human,2,AChR-MG,No,1,63
Human,2,AChR-MG,No,2,85184
Human,2,AChR-MG,No,3,27323
Human,2,AChR-MG,No,4,13839
Human,2,AChR-MG,No,5,8624
Human,2,AChR-MG,No,6,5508
Human,2,AChR-MG,No,7,3942
Human,2,AChR-MG,No,8,2881
Human,2,AChR-MG,No,9,2123
Human,2,AChR-MG,No,10,1615
Human,2,AChR-MG,No,>10,11477
Human,2,AChR-MG,Yes,1,1
Human,2,AChR-MG,Yes,2,1513
Human,2,AChR-MG,Yes,3,988
Human,2,AChR-MG,Yes,4,721
Human,2,AChR-MG,Yes,5,528
Human,2,AChR-MG,Yes,6,377
Human,2,AChR-MG,Yes,7,274
Human,2,AChR-MG,Yes,8,228
Human,2,AChR-MG,Yes,9,186
Human,2,AChR-MG,Yes,10,114
Human,2,AChR-MG,Yes,>10,907
Human,3,AChR-MG,No,2,10
Human,3,AChR-MG,No,3,24922
Human,3,AChR-MG,No,4,16324
Human,3,AChR-MG,No,5,11057
Human,3,AChR-MG,No,6,7951
Human,3,AChR-MG,No,7,5939
Human,3,AChR-MG,No,8,4559
Human,3,AChR-MG,No,9,3525
Human,3,AChR-MG,No,10,2774
Human,3,AChR-MG,No,>10,20144
Human,3,AChR-MG,Yes,2,1
Human,3,AChR-MG,Yes,3,413
Human,3,AChR-MG,Yes,4,446
Human,3,AChR-MG,Yes,5,372
Human,3,AChR-MG,Yes,6,313
Human,3,AChR-MG,Yes,7,254
Human,3,AChR-MG,Yes,8,221
Human,3,AChR-MG,Yes,9,176
Human,3,AChR-MG,Yes,10,146
Human,3,AChR-MG,Yes,>10,1147
Human,4,AChR-MG,No,3,4
Human,4,AChR-MG,No,4,7389
Human,4,AChR-MG,No,5,8109
Human,4,AChR-MG,No,6,7103
Human,4,AChR-MG,No,7,6019
Human,4,AChR-MG,No,8,5144
Human,4,AChR-MG,No,9,4210
Human,4,AChR-MG,No,10,3576
Human,4,AChR-MG,No,>10,31388
Human,4,AChR-MG,Yes,4,146
Human,4,AChR-MG,Yes,5,149
Human,4,AChR-MG,Yes,6,161
Human,4,AChR-MG,Yes,7,184
Human,4,AChR-MG,Yes,8,176
Human,4,AChR-MG,Yes,9,147
Human,4,AChR-MG,Yes,10,139
Human,4,AChR-MG,Yes,>10,1518
